id,title,price
1462402,Hbo with almonds 50 oz,6.99
1561549,"7"" foliage",21.99
303285,Finlandia 4 chs slcd #2,8.89
18257,Adams crnchy pnut btr 80z,9.99
1243186,Heavenly hunks org 22 oz,9.99
1050557,Ks pnut btr pretzels 55z,8.79
868821,Ziploc storge var pk 347c,14.69
853467,One a day mens mltivitmin,16.99
1243186,Heavenly hunks org 22 oz,9.99
1243186,Heavenly hunks org 22 oz,9.99
1462402,Hbo with almonds 50 oz,6.99
1205980,Chobani pln grk ygrt 40oz,4.69
1205980,Chobani pln grk ygrt 40oz,4.69
422672,Msf veggie ssg pattie 32c,13.99
289685,Sunmaid organic raisins,10.89
1068083,Ks org f/r large eggs 2dz,6.59
464292,Yakisoba noodles 8/6-9oz,12.89
284601,Ks whole almonds 3 lbs,9.99
834603,Kodiak power cakes p240,11.99
83333,Green seedless grapes,7.99
47019,Avocados,6.99
289685,Sunmaid organic raisins,10.89
,taxes,4.19
,subtotal,221.38
,total,225.57
